日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,モーター2連対率,着順
2026-05-06,桐生,第1R,5号艇,4491 / B1 田中 堅 群馬/群馬 39歳/52.3kg,37.62,55.45,52.3,-
2026-05-06,桐生,第1R,1号艇,3293 / B1 宮内 由紀英 東京/東京 60歳/52.0kg,43.30,59.79,52.0,-
2026-05-06,桐生,第1R,6号艇,4128 / B1 川口 貴久 東京/東京 46歳/54.8kg,32.26,49.46,54.8,-
2026-05-06,桐生,第1R,2号艇,5455 / B2 澁澤 周羽 群馬/群馬 19歳/52.1kg,28.13,44.79,52.1,-
2026-05-06,桐生,第2R,3号艇,3679 / A1 飯島 昌弘 埼玉/埼玉 53歳/52.0kg,27.37,51.58,52.0,-
2026-05-06,桐生,第2R,4号艇,3790 / B1 佐口 達也 群馬/群馬 53歳/52.0kg,42.42,63.64,52.0,-
2026-05-06,桐生,第2R,2号艇,5306 / B1 河内 悠利杏 群馬/群馬 22歳/47.4kg,39.78,60.22,47.4,-
2026-05-06,桐生,第3R,5号艇,4819 / A2 蜂須 瑞生 群馬/群馬 34歳/47.0kg,34.74,49.47,47.0,-
2026-05-06,桐生,第3R,4号艇,3532 / A1 柴田 光 群馬/群馬 54歳/52.0kg,31.25,50.00,52.0,-
2026-05-06,桐生,第3R,3号艇,3441 / B1 土屋 太朗 群馬/群馬 56歳/52.0kg,30.85,44.68,52.0,-
2026-05-06,桐生,第3R,1号艇,5377 / B1 鳥居塚 嶺王 群馬/群馬 22歳/49.5kg,41.41,51.52,49.5,-
2026-05-06,桐生,第3R,6号艇,4987 / B1 島倉 都 群馬/新潟 29歳/48.8kg,34.41,50.54,48.8,-
2026-05-06,桐生,第4R,1号艇,5100 / B1 栗原 一馬 群馬/群馬 29歳/54.4kg,36.73,62.24,54.4,-
2026-05-06,桐生,第4R,6号艇,3475 / B1 橋本 久和 群馬/群馬 55歳/52.0kg,32.63,57.89,52.0,-
2026-05-06,桐生,第4R,5号艇,5320 / B1 岩崎 麗子 群馬/群馬 24歳/48.7kg,36.36,56.57,48.7,-
2026-05-06,桐生,第4R,2号艇,5390 / B2 高橋 涼夏 群馬/群馬 18歳/47.7kg,36.73,53.06,47.7,-
2026-05-06,桐生,第5R,5号艇,3406 / A2 中里 英夫 群馬/栃木 57歳/52.9kg,40.00,57.00,52.9,-
2026-05-06,桐生,第5R,2号艇,4809 / A2 外崎 悟 埼玉/埼玉 37歳/52.0kg,31.25,43.75,52.0,-
2026-05-06,桐生,第6R,4号艇,5283 / B1 植木 美帆 東京/東京 22歳/47.0kg,36.00,51.00,47.0,-
2026-05-06,桐生,第6R,6号艇,3889 / B1 須藤 隆雄 群馬/栃木 51歳/54.2kg,33.66,52.48,54.2,-
2026-05-06,桐生,第6R,3号艇,3293 / B1 宮内 由紀英 東京/東京 60歳/52.0kg,43.30,59.79,52.0,-
2026-05-06,桐生,第6R,1号艇,5361 / B2 植竹 玲奈 東京/神奈川 19歳/48.6kg,46.08,58.82,48.6,-
2026-05-06,桐生,第7R,3号艇,4407 / B1 鹿島 敏弘 群馬/青森 40歳/53.5kg,26.26,43.43,53.5,-
2026-05-06,桐生,第7R,1号艇,3655 / A2 本橋 克洋 群馬/群馬 52歳/53.5kg,30.00,46.00,53.5,-
2026-05-06,桐生,第7R,6号艇,5455 / B2 澁澤 周羽 群馬/群馬 19歳/52.1kg,28.13,44.79,52.1,-
2026-05-06,桐生,第8R,4号艇,4177 / B1 萬 正嗣 群馬/宮城 43歳/55.2kg,30.30,46.46,55.2,-
2026-05-06,桐生,第8R,5号艇,4987 / B1 島倉 都 群馬/新潟 29歳/48.8kg,34.41,50.54,48.8,-
2026-05-06,桐生,第8R,6号艇,3679 / A1 飯島 昌弘 埼玉/埼玉 53歳/52.0kg,27.37,51.58,52.0,-
2026-05-06,桐生,第8R,3号艇,3947 / B1 寺本 昇平 群馬/神奈川 50歳/50.0kg,36.84,51.58,50.0,-
2026-05-06,桐生,第9R,2号艇,4887 / B1 富澤 祐作 群馬/群馬 39歳/53.1kg,36.00,57.00,53.1,-
2026-05-06,桐生,第9R,6号艇,4491 / B1 田中 堅 群馬/群馬 39歳/52.3kg,37.62,55.45,52.3,-
2026-05-06,桐生,第9R,1号艇,3532 / A1 柴田 光 群馬/群馬 54歳/52.0kg,31.25,50.00,52.0,-
2026-05-06,桐生,第9R,3号艇,5100 / B1 栗原 一馬 群馬/群馬 29歳/54.4kg,36.73,62.24,54.4,-
2026-05-06,桐生,第10R,3号艇,3790 / B1 佐口 達也 群馬/群馬 53歳/52.0kg,42.42,63.64,52.0,-
2026-05-06,桐生,第10R,2号艇,3482 / A2 金子 猛志 群馬/群馬 55歳/56.8kg,41.05,54.74,56.8,-
2026-05-06,桐生,第10R,5号艇,4188 / A1 久田 敏之 群馬/群馬 45歳/52.0kg,30.30,42.42,52.0,-
2026-05-06,桐生,第10R,4号艇,4645 / A1 上村 純一 群馬/千葉 45歳/52.5kg,29.47,46.32,52.5,-
2026-05-06,桐生,第11R,2号艇,4362 / A1 土屋 智則 群馬/群馬 41歳/52.0kg,39.60,58.42,52.0,-
2026-05-06,桐生,第11R,3号艇,3159 / A1 江口 晃生 群馬/群馬 61歳/52.2kg,43.75,60.42,52.2,-
2026-05-06,桐生,第11R,1号艇,3475 / B1 橋本 久和 群馬/群馬 55歳/52.0kg,32.63,57.89,52.0,-
2026-05-06,桐生,第11R,5号艇,3406 / A2 中里 英夫 群馬/栃木 57歳/52.9kg,40.00,57.00,52.9,-
2026-05-06,桐生,第12R,5号艇,4787 / A1 椎名 豊 群馬/群馬 37歳/52.4kg,38.78,53.06,52.4,-
2026-05-06,桐生,第12R,6号艇,4888 / B1 金児 隆太 群馬/長野 38歳/52.0kg,42.86,60.20,52.0,-
2026-05-06,桐生,第12R,4号艇,4420 / A2 津久井 拓也 群馬/栃木 38歳/52.3kg,36.08,56.70,52.3,-
2026-05-06,桐生,第12R,1号艇,5234 / A2 塚越 海斗 群馬/群馬 27歳/52.2kg,35.42,55.21,52.2,-
2026-05-06,戸田,第1R,6号艇,3664 / B1 鈴木 賢一 埼玉/埼玉 56歳/56.5kg,32.30,47.20,56.5,-
2026-05-06,戸田,第1R,3号艇,5191 / A1 飛田 江己 埼玉/東京 24歳/52.0kg,29.41,43.79,52.0,-
2026-05-06,戸田,第1R,4号艇,5246 / B1 楠 将太郎 埼玉/埼玉 24歳/52.0kg,40.49,57.06,52.0,-
2026-05-06,戸田,第2R,2号艇,5112 / A1 砂長 知輝 埼玉/埼玉 26歳/52.7kg,30.82,42.14,52.7,-
2026-05-06,戸田,第2R,1号艇,4144 / A2 石塚 久也 埼玉/埼玉 44歳/52.0kg,36.48,54.09,52.0,-
2026-05-06,戸田,第2R,3号艇,3546 / B1 中里 昌志 埼玉/埼玉 57歳/52.0kg,38.61,50.63,52.0,-
2026-05-06,戸田,第2R,4号艇,3880 / B1 浅見 宗孝 埼玉/埼玉 53歳/55.7kg,38.13,54.38,55.7,-
2026-05-06,戸田,第3R,5号艇,4191 / A2 赤羽 克也 埼玉/埼玉 44歳/55.8kg,31.21,50.96,55.8,-
2026-05-06,戸田,第3R,6号艇,3952 / A1 中澤 和志 埼玉/岩手 49歳/52.2kg,31.68,49.07,52.2,-
2026-05-06,戸田,第3R,2号艇,5466 / B2 成田 華音 埼玉/埼玉 19歳/52.0kg,36.42,51.85,52.0,-
2026-05-06,戸田,第4R,2号艇,5045 / A2 平川 香織 埼玉/東京 25歳/46.5kg,33.33,49.06,46.5,-
2026-05-06,戸田,第4R,1号艇,5357 / B2 田中 瀬里奈 埼玉/北海道 21歳/52.5kg,33.76,50.32,52.5,-
2026-05-06,戸田,第4R,4号艇,5287 / B1 滝沢 織寧 埼玉/埼玉 26歳/47.1kg,32.05,45.51,47.1,-
2026-05-06,戸田,第4R,3号艇,5322 / B2 根岸 真優 埼玉/埼玉 24歳/45.0kg,44.79,59.51,45.0,-
2026-05-06,戸田,第4R,5号艇,5454 / B2 谷島 咲希 埼玉/埼玉 19歳/47.0kg,42.68,61.15,47.0,-
2026-05-06,戸田,第5R,2号艇,5167 / B1 小川 竜太朗 埼玉/埼玉 25歳/52.4kg,32.52,45.40,52.4,-
2026-05-06,戸田,第5R,6号艇,3251 / A2 平石 和男 埼玉/埼玉 59歳/51.5kg,37.27,48.45,51.5,-
2026-05-06,戸田,第5R,4号艇,3503 / B1 堂原 洋史 埼玉/千葉 56歳/52.2kg,35.71,50.65,52.2,-
2026-05-06,戸田,第6R,3号艇,4528 / A1 黒井 達矢 埼玉/埼玉 37歳/52.1kg,32.10,50.00,52.1,-
2026-05-06,戸田,第6R,6号艇,5087 / A2 佐藤 航 埼玉/埼玉 26歳/53.2kg,30.63,46.25,53.2,-
2026-05-06,戸田,第6R,2号艇,3497 / B1 後藤 浩 埼玉/埼玉 57歳/52.0kg,31.29,47.24,52.0,-
2026-05-06,戸田,第7R,5号艇,5005 / B1 石田 貴洋 埼玉/埼玉 29歳/52.2kg,34.84,49.03,52.2,-
2026-05-06,戸田,第7R,1号艇,5246 / B1 楠 将太郎 埼玉/埼玉 24歳/52.0kg,40.49,57.06,52.0,-
2026-05-06,戸田,第7R,6号艇,4186 / B1 小川 時光 埼玉/埼玉 45歳/54.5kg,32.69,50.64,54.5,-
2026-05-06,戸田,第8R,5号艇,5287 / B1 滝沢 織寧 埼玉/埼玉 26歳/47.1kg,32.05,45.51,47.1,-
2026-05-06,戸田,第8R,3号艇,4159 / A2 向後 龍一 埼玉/茨城 44歳/51.5kg,33.97,46.15,51.5,-
2026-05-06,戸田,第8R,4号艇,4700 / A2 金子 和之 埼玉/新潟 39歳/52.0kg,29.11,46.84,52.0,-
2026-05-06,戸田,第8R,6号艇,4573 / A1 佐藤 翼 埼玉/埼玉 37歳/52.5kg,31.37,50.98,52.5,-
2026-05-06,戸田,第9R,5号艇,4738 / A2 清埜 翔子 埼玉/埼玉 34歳/46.5kg,32.92,57.76,46.5,-
2026-05-06,戸田,第9R,2号艇,5322 / B2 根岸 真優 埼玉/埼玉 24歳/45.0kg,44.79,59.51,45.0,-
2026-05-06,戸田,第9R,6号艇,4836 / B2 大谷 健太 埼玉/埼玉 37歳/52.0kg,42.58,54.84,52.0,-
2026-05-06,戸田,第10R,4号艇,5087 / A2 佐藤 航 埼玉/埼玉 26歳/53.2kg,30.63,46.25,53.2,-
2026-05-06,戸田,第10R,3号艇,4191 / A2 赤羽 克也 埼玉/埼玉 44歳/55.8kg,31.21,50.96,55.8,-
2026-05-06,戸田,第10R,6号艇,5112 / A1 砂長 知輝 埼玉/埼玉 26歳/52.7kg,30.82,42.14,52.7,-
2026-05-06,戸田,第10R,1号艇,5220 / A1 青木 蓮 埼玉/埼玉 25歳/52.0kg,47.26,66.44,52.0,-
2026-05-06,戸田,第11R,2号艇,4144 / A2 石塚 久也 埼玉/埼玉 44歳/52.0kg,36.48,54.09,52.0,-
2026-05-06,戸田,第11R,3号艇,4528 / A1 黒井 達矢 埼玉/埼玉 37歳/52.1kg,32.10,50.00,52.1,-
2026-05-06,戸田,第11R,6号艇,5045 / A2 平川 香織 埼玉/東京 25歳/46.5kg,33.33,49.06,46.5,-
2026-05-06,戸田,第11R,1号艇,3412 / A2 鈴木 博 埼玉/埼玉 56歳/52.9kg,33.13,51.88,52.9,-
2026-05-06,戸田,第12R,4号艇,3381 / B1 滝沢 芳行 埼玉/埼玉 57歳/52.0kg,37.89,60.25,52.0,-
2026-05-06,戸田,第12R,1号艇,5042 / A1 畑田 汰一 埼玉/東京 27歳/52.0kg,32.90,45.81,52.0,-
2026-05-06,戸田,第12R,2号艇,4444 / A1 桐生 順平 埼玉/福島 39歳/52.0kg,39.24,57.59,52.0,-
2026-05-06,多摩川,第5R,5号艇,4575 / A1 戸塚 邦好 東京/東京 37歳/52.0kg,33.33,55.56,52.0,-
2026-05-06,多摩川,第6R,5号艇,4230 / A1 濱崎 直矢 埼玉/埼玉 43歳/53.3kg,44.44,66.67,53.3,-
2026-05-06,多摩川,第6R,6号艇,4619 / A2 伏田 裕隆 東京/千葉 43歳/52.1kg,11.11,27.78,52.1,-
2026-05-06,多摩川,第7R,2号艇,4598 / A1 加藤 政彦 東京/東京 41歳/52.4kg,36.36,45.45,52.4,-
2026-05-06,多摩川,第7R,1号艇,3793 / B1 高橋 真吾 埼玉/東京 53歳/58.2kg,20.00,26.67,58.2,-
2026-05-06,多摩川,第8R,5号艇,3569 / B1 増田 進 東京/東京 55歳/52.2kg,50.00,70.00,52.2,-
2026-05-06,多摩川,第8R,1号艇,5301 / B1 岩下 巧斗 群馬/群馬 23歳/52.0kg,12.50,12.50,52.0,-
2026-05-06,多摩川,第9R,6号艇,4488 / A1 小山 勉 埼玉/埼玉 39歳/52.7kg,18.18,36.36,52.7,-
2026-05-06,多摩川,第9R,5号艇,3558 / B1 山本 浩次 岡山/大阪 53歳/53.8kg,70.00,100.00,53.8,-
2026-05-06,多摩川,第9R,1号艇,5279 / B1 石渡 翔一郎 東京/千葉 23歳/53.1kg,54.55,63.64,53.1,-
2026-05-06,多摩川,第10R,3号艇,4043 / A2 桐本 康臣 三重/三重 46歳/53.6kg,30.00,40.00,53.6,-
2026-05-06,多摩川,第10R,4号艇,4557 / B1 松尾 光広 岡山/岡山 36歳/54.6kg,70.00,90.00,54.6,-
2026-05-06,多摩川,第10R,6号艇,4561 / A2 藤山 翔大 大阪/大阪 35歳/52.0kg,17.65,29.41,52.0,-
2026-05-06,多摩川,第11R,4号艇,4439 / B1 近藤 友宝 埼玉/埼玉 39歳/54.6kg,52.63,73.68,54.6,-
2026-05-06,多摩川,第11R,5号艇,5350 / B1 網代 良芽 兵庫/兵庫 22歳/52.0kg,40.00,66.67,52.0,-
2026-05-06,多摩川,第11R,1号艇,3888 / A2 山本 英志 東京/広島 51歳/51.0kg,33.33,33.33,51.0,-
2026-05-06,多摩川,第12R,2号艇,4983 / A1 前田 篤哉 愛知/愛知 29歳/52.0kg,50.00,60.00,52.0,-
2026-05-06,蒲郡,第1R,5号艇,4229 / B1 市川 美宏 静岡/静岡 43歳/52.7kg,34.44,50.56,52.7,-
2026-05-06,蒲郡,第1R,1号艇,5127 / B1 沼田 大都 愛知/広島 29歳/51.0kg,35.71,49.29,51.0,-
2026-05-06,蒲郡,第1R,6号艇,5318 / B1 河内 一馬 愛知/愛知 25歳/53.6kg,32.69,44.23,53.6,-
2026-05-06,蒲郡,第2R,5号艇,5082 / B1 一色 凌雅 愛知/愛知 27歳/57.9kg,33.33,48.43,57.9,-
2026-05-06,蒲郡,第2R,3号艇,4035 / B1 杉江 浩明 愛知/愛知 47歳/51.5kg,34.83,58.43,51.5,-
2026-05-06,蒲郡,第2R,1号艇,5319 / B1 近藤 颯斗 愛知/愛知 24歳/52.2kg,36.78,55.17,52.2,-
2026-05-06,蒲郡,第3R,2号艇,5262 / B1 鈴木 章司 愛知/愛知 28歳/52.9kg,38.86,58.55,52.9,-
2026-05-06,蒲郡,第3R,5号艇,3718 / B1 伊達 正利 静岡/静岡 51歳/54.9kg,36.47,54.71,54.9,-
2026-05-06,蒲郡,第3R,6号艇,3967 / B1 鈴木 茂高 愛知/愛知 46歳/57.0kg,40.88,61.33,57.0,-
2026-05-06,蒲郡,第3R,1号艇,5061 / B1 中村 駿平 愛知/愛知 28歳/52.1kg,33.14,48.84,52.1,-
2026-05-06,蒲郡,第4R,4号艇,5211 / B1 高井 駿弥 愛知/愛知 27歳/50.0kg,35.63,59.77,50.0,-
2026-05-06,蒲郡,第4R,2号艇,3934 / B1 鋤柄 貴俊 愛知/愛知 49歳/52.0kg,46.91,60.82,52.0,-
2026-05-06,蒲郡,第4R,1号艇,3945 / B1 橋口 真樹 愛知/愛知 50歳/52.0kg,33.96,55.35,52.0,-
2026-05-06,蒲郡,第5R,3号艇,3776 / B1 横井 健太 愛知/愛知 50歳/57.8kg,35.04,50.36,57.8,-
2026-05-06,蒲郡,第5R,6号艇,5137 / B1 川原 涼 愛知/愛知 26歳/53.9kg,34.94,52.41,53.9,-
2026-05-06,蒲郡,第5R,1号艇,3642 / B1 大塚 浩二 静岡/静岡 54歳/52.2kg,32.53,53.01,52.2,-
2026-05-06,蒲郡,第5R,2号艇,4067 / A1 永井 源 愛知/福岡 46歳/52.8kg,28.48,45.03,52.8,-
2026-05-06,蒲郡,第5R,4号艇,4681 / B1 太田 潮 愛知/愛知 35歳/52.0kg,39.20,56.25,52.0,-
2026-05-06,蒲郡,第6R,1号艇,5345 / B1 牧村 俊輝 愛知/岐阜 22歳/52.4kg,31.94,45.83,52.4,-
2026-05-06,蒲郡,第6R,3号艇,3455 / B1 谷本 幸司 愛知/愛知 55歳/52.5kg,34.08,48.04,52.5,-
2026-05-06,蒲郡,第6R,2号艇,3839 / B1 川合 理司 静岡/静岡 50歳/62.9kg,37.30,57.84,62.9,-
2026-05-06,蒲郡,第6R,4号艇,5127 / B1 沼田 大都 愛知/広島 29歳/51.0kg,35.71,49.29,51.0,-
2026-05-06,蒲郡,第7R,6号艇,4035 / B1 杉江 浩明 愛知/愛知 47歳/51.5kg,34.83,58.43,51.5,-
2026-05-06,蒲郡,第7R,5号艇,5061 / B1 中村 駿平 愛知/愛知 28歳/52.1kg,33.14,48.84,52.1,-
2026-05-06,蒲郡,第7R,3号艇,4989 / A2 石原 翼 静岡/静岡 28歳/52.0kg,45.51,61.80,52.0,-
2026-05-06,蒲郡,第7R,2号艇,4229 / B1 市川 美宏 静岡/静岡 43歳/52.7kg,34.44,50.56,52.7,-
2026-05-06,蒲郡,第8R,3号艇,3945 / B1 橋口 真樹 愛知/愛知 50歳/52.0kg,33.96,55.35,52.0,-
2026-05-06,蒲郡,第8R,4号艇,5262 / B1 鈴木 章司 愛知/愛知 28歳/52.9kg,38.86,58.55,52.9,-
2026-05-06,蒲郡,第8R,5号艇,5318 / B1 河内 一馬 愛知/愛知 25歳/53.6kg,32.69,44.23,53.6,-
2026-05-06,蒲郡,第8R,6号艇,4293 / A2 鈴木 智啓 愛知/愛知 40歳/58.9kg,30.43,42.75,58.9,-
2026-05-06,蒲郡,第9R,2号艇,3967 / B1 鈴木 茂高 愛知/愛知 46歳/57.0kg,40.88,61.33,57.0,-
